Meter	Temperature	Radiation
8776563	17,39329666	0
8776563	17,35286965	0
8776563	17,27841006	0
8776563	17,21376281	0
8776563	17,20512717	0
8776563	17,11606337	0
8776563	17,14190707	0
8776563	17,1120949	0
8776563	17,09055302	0
8776563	16,95581846	0
8776563	16,867146	0
8776563	16,9032051	0
8776563	16,89285702	0
8776563	16,98482082	0
8776563	17,0168133	0
8776563	16,9232679	0
8776563	16,5949707	0
8776563	16,49048567	0
8776563	16,52911111	0
8776563	16,54923459	0
8776563	16,5103906	0
8776563	16,35878719	0
8776563	16,32114884	0
8776563	16,14973712	0
8776563	16,13000501	0
8776563	16,43383719	0
8776563	16,36466539	0
8776563	16,23276718	0
8776563	16,18841176	0
8776563	16,19904469	0
8776563	16,3632903	0
8776563	16,50244657	0
8776563	16,24026142	0
8776563	16,23454331	0
8776563	16,28111339	0
8776563	16,42257394	0
8776563	16,43410553	0
8776563	16,40785888	0
8776563	16,30600706	0
8776563	16,34817811	0
8776563	16,48955708	0,011662823
8776563	16,4870963	0,093302588
8776564	16,35385689	1,011094034
8776567,317	16,26611934	2,776580078
8776578,533	16,28428532	4,681300561
8776615,131	16,46889349	9,685606003
8776681,794	16,70731213	17,79185756
8776784,452	16,90999286	26,05151049
8776895,916	17,04710091	31,30281067
8777011,703	17,0143285	33,26843754
8777136,595	17,07094327	33,72354253
8777275,466	17,07708472	35,83501943
8777435,714	17,20624235	40,49525897
8777649,456	17,2690493	48,99932098
